"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"SPIRE2","Pre-optic area",3089,2816,5905,0.523,0.477,0.000399800892999746,0.000845293316628033
"TANGO6","Pre-optic area",767,1291,2058,0.373,0.627,4.53918011346182e-31,2.58384098766288e-30
"TCF25","Pre-optic area",486,782,1268,0.383,0.617,8.65017649397164e-17,3.79405226051741e-16
"TERF2","Pre-optic area",1683,1404,3087,0.545,0.455,5.53464916756372e-07,1.51690384592487e-06
"TLDC1","Pre-optic area",45,42,87,0.517,0.483,0.830373009685753,0.936528139106145
"TMED6","Pre-optic area",1,3,4,0.25,0.75,0.625,0.745967741935484
"TUBB3","Pre-optic area",418,2,420,0.995,0.005,6.53037498061657e-122,4.83247748565626e-120
"USP10","Pre-optic area",78,150,228,0.342,0.658,2.14027924845934e-06,5.4614022202066e-06
"UTP4","Pre-optic area",957,851,1808,0.529,0.471,0.0135123185441882,0.0217372080928244
"VPS4A","Pre-optic area",7133,7268,14401,0.495,0.505,0.26415277711418,0.349059026900881
"VPS9D1","Pre-optic area",1463,870,2333,0.627,0.373,6.78341876568035e-35,4.18310823883622e-34
"ZC3H18","Pre-optic area",45,46,91,0.495,0.505,1,1
"ZCCHC14","Pre-optic area",6,158,164,0.037,0.963,2.18907274222617e-39,1.47264893567943e-38
"ZNF276","Pre-optic area",744,809,1553,0.479,0.521,0.1043387922313,0.145680577832381
