"GID","GENETYPE"
106887508,"protein-coding"
106890464,"protein-coding"
106901890,"protein-coding"
106894631,"protein-coding"
106894871,"protein-coding"
106891056,"protein-coding"
106889285,"protein-coding"
106900578,"protein-coding"
106890623,"protein-coding"
106888708,"protein-coding"
106891349,"protein-coding"
106902859,"protein-coding"
106896959,"protein-coding"
106897835,"protein-coding"
106884609,"protein-coding"
106898044,"protein-coding"
106891583,"protein-coding"
106897645,"protein-coding"
106896238,"protein-coding"
106901411,"protein-coding"
106897055,"protein-coding"
106893271,"protein-coding"
106887294,"protein-coding"
106897811,"protein-coding"
106885362,"protein-coding"
106889398,"protein-coding"
106884577,"protein-coding"
106891473,"protein-coding"
106898740,"protein-coding"
106893106,"protein-coding"
106892607,"protein-coding"
106895480,"protein-coding"
106898735,"protein-coding"
106891405,"protein-coding"
106901689,"protein-coding"
106885925,"protein-coding"
106892565,"protein-coding"
106901656,"protein-coding"
106889959,"protein-coding"
106900035,"protein-coding"
106898329,"protein-coding"
106897397,"protein-coding"
106889358,"protein-coding"
106891953,"protein-coding"
106901301,"protein-coding"
106886415,"protein-coding"
106890495,"protein-coding"
106893644,"protein-coding"
106901936,"protein-coding"
106885278,"protein-coding"
106886386,"protein-coding"
106893818,"protein-coding"
106885453,"protein-coding"
106902141,"protein-coding"
106890603,"protein-coding"
106890602,"protein-coding"
106888672,"protein-coding"
106885745,"protein-coding"
106893261,"protein-coding"
106892069,"protein-coding"
106895231,"protein-coding"
106885415,"protein-coding"
106887761,"protein-coding"
106891486,"protein-coding"
106893338,"protein-coding"
106884807,"protein-coding"
106890276,"protein-coding"
106895547,"protein-coding"
106887677,"protein-coding"
106900809,"protein-coding"
106894936,"protein-coding"
106892912,"protein-coding"
106897614,"protein-coding"
106894304,"protein-coding"
106889920,"protein-coding"
106893742,"protein-coding"
106895768,"protein-coding"
106897128,"protein-coding"
106885537,"protein-coding"
106885902,"protein-coding"
106888025,"protein-coding"
106902674,"protein-coding"
106886730,"protein-coding"
106886830,"protein-coding"
106893050,"protein-coding"
106888680,"protein-coding"
106896224,"protein-coding"
106887146,"protein-coding"
106888247,"protein-coding"
106886527,"protein-coding"
106887576,"protein-coding"
106893446,"protein-coding"
106892016,"protein-coding"
106889329,"protein-coding"
106894004,"protein-coding"
106892480,"protein-coding"
106890242,"protein-coding"
106890629,"protein-coding"
106901972,"protein-coding"
106885476,"protein-coding"
106886348,"protein-coding"
106898924,"protein-coding"
