"GID","ALTERNATIVE_SYMBOL"
"106900376","LOC106900376"
"106900378","LOC106900378"
"106894052","LOC106894052"
"106902141","AGO2"
"106892813","TTBK2"
"106897595","VSTM5"
"106896785","BMAL2"
"106895645","TBC1D8B"
"106898885","GYG2"
"106902483","LOC106902483"
"106902486","LOC106902486"
"106902492","LOC106902492"
"106902494","LOC106902494"
"106902527","LOC106902527"
"106902528","LOC106902528"
"106898648","NAP1L4"
"106902549","LOC106902549"
"106890711","LOC106890711"
"106890712","LOC106890712"
"106896596","LOC106896596"
"106892322","LOC106892322"
"106892395","TTC12"
"106886725","TTC14"
"106887399","TRIO"
"106887556","LOC106887556"
"106900440","LOC106900440"
"106902942","PTCD3"
"106886233","CFAP221"
"106890411","GPER1"
"106886010","ROCK1"
"106892236","DNAJC24"
"106890030","LOC106890030"
"106890035","LOC106890035"
"106890036","LOC106890036"
"106894091","LOC106894091"
"106894098","LOC106894098"
"106894104","LOC106894104"
"106894109","LOC106894109"
"106894110","LOC106894110"
"106894114","LOC106894114"
"106894119","LOC106894119"
"106894123","LOC106894123"
"106887910","AP4S1"
"106898949","EXOSC7"
"106887956","EIF2AK4"
"106901165","LOC106901165"
"106901166","LOC106901166"
"106901171","LOC106901171"
"106901172","LOC106901172"
"106901177","LOC106901177"
"106901178","LOC106901178"
"106901183","LOC106901183"
"106901188","LOC106901188"
"106901198","LOC106901198"
"106901204","LOC106901204"
"106901209","LOC106901209"
"106901214","LOC106901214"
"106895018","ASIC4"
"106892393","LOC106892393"
"106892400","LOC106892400"
"106893399","SRSF2"
"106890042","LOC106890042"
"106888775","CACNA2D3"
"106900104","LOC106900104"
"106900105","LOC106900105"
"106900106","LOC106900106"
"106890061","LOC106890061"
"106890067","LOC106890067"
"106898763","LOC106898763"
"106890121","NRBP2"
"106891188","KEL"
"106887598","LOC106887598"
"106893313","TTC7A"
"106890069","LOC106890069"
"106894140","LOC106894140"
"106894813","LOC106894813"
"106901258","GRAMD4"
"106887115","SLC25A16"
"106890080","LOC106890080"
"106888321","CTU2"
"106900110","LOC106900110"
"106895153","CFLAR"
"106890101","LOC106890101"
"106891022","SH2D1B"
"106886377","EXTL2"
"106897733","LOC106897733"
"106892601","FGF2"
"106890108","LOC106890108"
"106890110","LOC106890110"
"106890117","LOC106890117"
"106896240","LOC106896240"
"106896264","LOC106896264"
"106890975","LOC106890975"
"106890977","LOC106890977"
"106891225","SPTLC1"
"106894549","LIG3"
"106894427","TLCD2"
"106902728","NKAIN2"
"106886100","GALR1"
"106897764","LOC106897764"
"106889533","NEDD4"
"106890208","LOC106890208"
"106899483","KHDC4"
"106885591","LOC106885591"
"106885603","LOC106885603"
"106902829","LOC106902829"
"106902842","LOC106902842"
"106902855","LOC106902855"
"106890020","MTUS1"
"106899921","GOLGB1"
"106898866","LOC106898866"
"106898871","LOC106898871"
"106886539","LOC106886539"
"106886550","LOC106886550"
"106886553","LOC106886553"
"106899026","COPB2"
"106894888","LOC106894888"
"106900140","LOC106900140"
"106887577","LYPD1"
"106886563","LOC106886563"
"106886565","LOC106886565"
"106898608","MBD6"
"106901471","LOC106901471"
"106902757","BAZ2B"
"106884809","UNKL"
"106890218","LOC106890218"
"106890220","LOC106890220"
"106890229","LOC106890229"
"106890230","LOC106890230"
"106890231","LOC106890231"
"106890232","LOC106890232"
"106890583","KHDRBS1"
"106901486","LOC106901486"
"106888791","ERC2"
"106900146","LOC106900146"
"106894189","LOC106894189"
"106894190","LOC106894190"
"106894191","LOC106894191"
"106894194","LOC106894194"
"106894200","LOC106894200"
"106894210","LOC106894210"
"106894212","LOC106894212"
"106894216","LOC106894216"
"106894220","LOC106894220"
"106894224","LOC106894224"
"106894225","LOC106894225"
"106895596","NKRF"
"106884557","SH3BP2"
"106898221","INTS10"
"106885004","POLE2"
"106896302","LOC106896302"
"106897969","GIP"
"106894247","LOC106894247"
"106887221","P2RX3"
"106889291","CUL4A"
"106894283","LOC106894283"
"106894284","LOC106894284"
"106898207","PCGF6"
"106894289","LOC106894289"
"106894290","LOC106894290"
"106885890","KCNA1"
"106888692","LOC106888692"
"106888693","LOC106888693"
"106888697","LOC106888697"
"106888701","LOC106888701"
"106888702","LOC106888702"
"106888703","LOC106888703"
"106894305","LOC106894305"
"106894306","LOC106894306"
"106890274","LOC106890274"
"106890280","LOC106890280"
"106894315","LOC106894315"
"106894317","LOC106894317"
"106900169","LOC106900169"
"106887385","PAK1IP1"
"106900527","LOC106900527"
"54124879","trnY(gta)"
"106888714","LOC106888714"
"106888716","LOC106888716"
"106888717","LOC106888717"
"106888718","LOC106888718"
"106888722","LOC106888722"
"106888727","LOC106888727"
"106890284","LOC106890284"
"106900172","LOC106900172"
"106900176","LOC106900176"
"106900177","LOC106900177"
"106900178","LOC106900178"
"106894335","LOC106894335"
"106894339","LOC106894339"
"106894341","LOC106894341"
"106900180","LOC106900180"
"106894358","LOC106894358"
"106885525","GALNT15"
"106891062","DNM1"
"106900194","LOC106900194"
"106890355","LOC106890355"
"106890363","LOC106890363"
"106890372","LOC106890372"
"106890374","LOC106890374"
"106887802","LOC106887802"
"106893166","STXBP5"
"106900549","LOC106900549"
"106900552","LOC106900552"
"106900554","LOC106900554"
"106900555","LOC106900555"
"106898979","LOC106898979"
"106893147","TLR5"
"106884719","GPR139"
"106900207","LOC106900207"
"106900211","LOC106900211"
"106900217","LOC106900217"
"106890739","NR2C2"
"106900221","LOC106900221"
"106901851","LOC106901851"
"106901859","LOC106901859"
"106901862","LOC106901862"
"106901863","LOC106901863"
"106890383","LOC106890383"
"106901865","LOC106901865"
"106901866","LOC106901866"
"106901867","LOC106901867"
"106901868","LOC106901868"
"106885817","LOC106885817"
"106901877","LOC106901877"
"106890386","LOC106890386"
"106895351","SMARCAL1"
"106885829","LOC106885829"
"106900227","LOC106900227"
"106886019","PTGR3"
"106887955","RALGAPA1"
"106885189","PRR5L"
"106891455","LOC106891455"
"106891456","LOC106891456"
"106891460","LOC106891460"
"106885949","LOC106885949"
"106885953","LOC106885953"
"106885955","LOC106885955"
"106885956","LOC106885956"
"106885957","LOC106885957"
"106885959","LOC106885959"
"106885960","LOC106885960"
"106885966","LOC106885966"
"106885967","LOC106885967"
"106885968","LOC106885968"
"106885969","LOC106885969"
"106893071","ZNF318"
"106885972","LOC106885972"
"106891259","SH3TC2"
"106887911","LOC106887911"
"106887912","LOC106887912"
"106887913","LOC106887913"
"106887915","LOC106887915"
"106887918","LOC106887918"
"106887919","LOC106887919"
"106900404","RALGAPA2"
"106885299","DDX11"
"106884750","ATF7IP2"
"106894433","LOC106894433"
"106890412","LOC106890412"
"106890418","LOC106890418"
"106901241","MON2"
"106887929","LOC106887929"
"106887932","LOC106887932"
"106887943","LOC106887943"
"106887948","LOC106887948"
"106887966","LOC106887966"
"106901974","ANKDD1B"
"106888316","DPY19L3"
"106886602","CDK14"
"106899066","LOC106899066"
"106899067","LOC106899067"
"106898874","MBTPS2"
"106890424","LOC106890424"
"106890426","LOC106890426"
"106901884","SREK1"
"106885838","LOC106885838"
"106885841","LOC106885841"
"106885844","LOC106885844"
"106885845","LOC106885845"
"106896551","LOC106896551"
"106891368","LOC106891368"
"106891371","LOC106891371"
"106891377","LOC106891377"
"106884936","RPUSD1"
"106894443","LOC106894443"
"106885849","LOC106885849"
"106885859","LOC106885859"
"106894841","PIGG"
"106891388","LOC106891388"
"106891391","LOC106891391"
"106891396","LOC106891396"
"106900895","TMCC3"
"106887993","LOC106887993"
"106887994","LOC106887994"
"106887998","LOC106887998"
"106888020","LOC106888020"
"106888055","LOC106888055"
"106888061","LOC106888061"
"106888062","LOC106888062"
"106888068","LOC106888068"
"106900442","APMAP"
"106897280","NAAA"
"106900246","LOC106900246"
"106892586","MGST2"
"106895685","PRRG3"
"106889278","TMCO3"
"106902080","LOC106902080"
"106890000","CWH43"
"106902091","LOC106902091"
"106902092","LOC106902092"
"106885115","ST18"
"106894452","LOC106894452"
"106894454","LOC106894454"
"106902106","LOC106902106"
"106886379","TUT4"
"106900255","LOC106900255"
"106902112","LOC106902112"
"106902113","LOC106902113"
"106902117","LOC106902117"
"106902121","LOC106902121"
"106888101","LOC106888101"
"106888102","LOC106888102"
"106888103","LOC106888103"
"106888104","LOC106888104"
"106890312","LSG1"
"106889865","LOXL3"
"106902175","COL14A1"
"106890132","P3H2"
"106885146","BOD1L1"
"106885977","ANKRD12"
"106900269","LOC106900269"
"106902159","LOC106902159"
"106900330","ERLEC1"
"106902174","LOC106902174"
"106900281","LOC106900281"
"106890484","LOC106890484"
"106898196","TMEM106C"
"106900283","LOC106900283"
"106899107","LOC106899107"
"106899118","LOC106899118"
"106899119","LOC106899119"
"106899120","LOC106899120"
"106896481","MAPT"
"106890490","LOC106890490"
"106890511","LOC106890511"
"106896996","LOC106896996"
"106896997","LOC106896997"
"106896998","LOC106896998"
"106897000","LOC106897000"
"106897001","LOC106897001"
"106897003","LOC106897003"
"106902212","LOC106902212"
"106902213","LOC106902213"
"106902226","LOC106902226"
"106894459","LOC106894459"
"106900290","LOC106900290"
"106900292","LOC106900292"
"106900293","LOC106900293"
"106890523","LOC106890523"
"106890524","LOC106890524"
"106890528","LOC106890528"
"106889024","GRIA2"
"106897023","LOC106897023"
"106897027","LOC106897027"
"106897034","LOC106897034"
"106897038","LOC106897038"
"106889511","RNF111"
"106894470","LOC106894470"
"106886131","PIK3CA"
"106887344","FIGNL1"
"106889474","ATOSA"
"106891053","ADGRG1"
"106893634","XRN1"
"106894494","LOC106894494"
"106894502","LOC106894502"
"106894519","LOC106894519"
"106891601","P4HA2"
"106898436","CXXC5"
"106894543","LOC106894543"
"106892611","ANAPC10"
"106888561","MVB12B"
"106896348","PPP3CB"
"106902265","LOC106902265"
"106889433","TMEM131L"
"106888274","LOC106888274"
"106890558","LOC106890558"
"106898012","RRP12"
"106885443","HNRNPA2B1"
"106888572","POMT1"
"106885872","LOC106885872"
"106885873","LOC106885873"
"106885874","LOC106885874"
"106892516","PAXX"
"106885884","LOC106885884"
"106884572","SH3TC1"
"106885887","LOC106885887"
"106885888","LOC106885888"
"106885892","LOC106885892"
"106885893","LOC106885893"
"106885903","LOC106885903"
"106894548","LOC106894548"
"106894569","LOC106894569"
"106894576","LOC106894576"
"106894577","LOC106894577"
"106894580","LOC106894580"
"106894584","LOC106894584"
"106894586","LOC106894586"
"106894604","LOC106894604"
"106894610","LOC106894610"
"106900825","FARP2"
"106902273","LOC106902273"
"106902290","LOC106902290"
"106890023","FGL1"
"106901666","SRSF7"
"106894503","DOC2B"
"106900320","LOC106900320"
"106900321","LOC106900321"
"106897222","INHBA"
"106885950","LOC106885950"
"106893043","PACC1"
"106888341","LOC106888341"
"106888345","LOC106888345"
"106888352","LOC106888352"
"106886080","LOC106886080"
"106886802","SEMA5B"
"106885019","LOC106885019"
"106902444","GRIA4"
"106901458","IRAK4"
"106886090","LOC106886090"
"106886095","LOC106886095"
"106886104","LOC106886104"
"106886106","LOC106886106"
"106892670","HNRNPD"
"106894634","LOC106894634"
"106894641","LOC106894641"
"106890634","LOC106890634"
"106899034","NYAP2"
"106888927","NEK7"
"106886116","LOC106886116"
"106886125","LOC106886125"
"106886126","LOC106886126"
"106886128","LOC106886128"
"106890654","LOC106890654"
"106890660","LOC106890660"
"106890662","LOC106890662"
"106890663","LOC106890663"
"106890664","LOC106890664"
"106894677","LOC106894677"
"54124899","HGE35_mgr01"
"54124901","HGE35_mgr02"
"106902832","CHUK"
"106897589","ANKRD42"
"106900340","LOC106900340"
"106900341","LOC106900341"
"106900342","LOC106900342"
"106897378","BTBD2"
"106901325","PANX2"
"106899249","LOC106899249"
"106899250","LOC106899250"
"106899251","LOC106899251"
"106899256","LOC106899256"
"106899259","LOC106899259"
"106886081","ESCO1"
"106898033","LOC106898033"
"106899153","SRSF1"
"106890408","TMEM184A"
"106890668","LOC106890668"
"106890669","LOC106890669"
"106885753","SIK1"
"106899276","LOC106899276"
"106893216","MAP3K4"
"106889856","IKZF5"
"106900393","LOC106900393"
"106900406","LOC106900406"
"106901724","ATL2"
"106886236","FUBP1"
"106895416","LOC106895416"
"106886487","MCOLN3"
"106897125","PPP6R3"
"106901681","ANKRD6"
"106890715","LOC106890715"
"106890717","LOC106890717"
"106890723","LOC106890723"
"106890724","LOC106890724"
"106890725","LOC106890725"
"106890726","LOC106890726"
"106890728","LOC106890728"
"106890729","LOC106890729"
"106890732","LOC106890732"
"106890733","LOC106890733"
"106890734","LOC106890734"
"106890753","LOC106890753"
"106890759","LOC106890759"
"106890760","LOC106890760"
"106890763","LOC106890763"
"106890764","LOC106890764"
"106886152","LOC106886152"
"106886153","LOC106886153"
"106886155","LOC106886155"
"106886156","LOC106886156"
"106886157","LOC106886157"
"106886164","LOC106886164"
"106891516","ZNF346"
"106890788","LOC106890788"
"106890796","LOC106890796"
"106884529","WEE1"
"106899083","FA2H"
"106889294","DUSP4"
"106895675","STK26"
"106897547","CRTAC1"
"106888034","TMEM229B"
"106897727","HABP2"
"106891771","PHTF1"
"106890804","LOC106890804"
"106900669","LOC106900669"
"106887055","LOC106887055"
"106900674","LOC106900674"
"106900675","LOC106900675"
"106887060","LOC106887060"
"106888403","LOC106888403"
"106899837","LOC106899837"
"106899839","LOC106899839"
"106888645","PHYHD1"
"106886247","LOC106886247"
"106900453","LOC106900453"
"54124873","CYTB"
"106899296","LOC106899296"
"106890057","IRF2"
"106890858","LOC106890858"
"106890864","LOC106890864"
"106894764","LOC106894764"
"106894766","LOC106894766"
"106888303","FAAP24"
"106886271","LOC106886271"
"106890878","LOC106890878"
"106900458","LOC106900458"
"106886285","LOC106886285"
"106886288","LOC106886288"
"106886289","LOC106886289"
"106886299","LOC106886299"
"106886304","LOC106886304"
"106886305","LOC106886305"
"106886306","LOC106886306"
"106886307","LOC106886307"
"106886310","LOC106886310"
"106886314","LOC106886314"
"106902601","LOC106902601"
"106891623","LOC106891623"
"106890891","LOC106890891"
"106890913","LOC106890913"
"106890914","LOC106890914"
"106890918","LOC106890918"
"106890938","LOC106890938"
"106900461","LOC106900461"
"106894784","LOC106894784"
"106894795","LOC106894795"
"106902663","LOC106902663"
"106894801","LOC106894801"
"106902669","LOC106902669"
"106902670","LOC106902670"
"106902675","LOC106902675"
"106902676","LOC106902676"
"106888226","ATXN1L"
"106901962","ERCC8"
"106891639","LOC106891639"
"106891640","LOC106891640"
"106893593","TAMM41"
"106902736","LOC106902736"
"106902744","LOC106902744"
"106902745","LOC106902745"
"106902746","LOC106902746"
"106902749","LOC106902749"
"106902751","LOC106902751"
"106902754","LOC106902754"
"106893268","RD3"
"106890964","LOC106890964"
"106888449","LOC106888449"
"106886488","LOC106886488"
"106896692","ITGB1BP1"
"106887098","LOC106887098"
"106887106","LOC106887106"
"106887109","LOC106887109"
"106887120","LOC106887120"
"106887121","LOC106887121"
"106896734","LOC106896734"
"106887133","LOC106887133"
"106887135","LOC106887135"
"106887142","LOC106887142"
"106887147","LOC106887147"
"106888511","LOC106888511"
"106888514","LOC106888514"
"106888519","LOC106888519"
"106888525","LOC106888525"
"106888526","LOC106888526"
"106888530","LOC106888530"
"106888531","LOC106888531"
"106894846","LOC106894846"
"106900480","LOC106900480"
"106893846","EMC1"
"106894854","LOC106894854"
"106894855","LOC106894855"
"106894856","LOC106894856"
"106894867","LOC106894867"
"106894869","LOC106894869"
"106894870","LOC106894870"
"106890980","LOC106890980"
"106890981","LOC106890981"
"106890982","LOC106890982"
"106889064","ZMYND8"
"106900764","LOC106900764"
"106896586","LOC106896586"
"106896108","LOC106896108"
"106896110","LOC106896110"
"106896111","LOC106896111"
"106890996","LOC106890996"
"106892572","LOC106892572"
"106892575","LOC106892575"
"106886531","LOC106886531"
"106886532","LOC106886532"
"106886535","LOC106886535"
"106891007","LOC106891007"
"106893160","TMEM63A"
"106897144","LOC106897144"
"106898479","MKS1"
"106897555","LOC106897555"
"106889166","RAB23"
"106900497","LOC106900497"
"106899221","CLASRP"
"106900501","LOC106900501"
"106900502","LOC106900502"
"106902251","TMEM71"
"54124900","ND1"
"54124874","ND2"
"54124892","ND3"
"54124895","ND4"
"54124894","ND4L"
"54124872","ND5"
"54124904","ND6"
"106896855","LOC106896855"
"106899897","LOC106899897"
"106892654","LOC106892654"
"106886581","LOC106886581"
"106891010","LOC106891010"
"106891020","LOC106891020"
"106891021","LOC106891021"
"106891027","LOC106891027"
"106891028","LOC106891028"
"106891029","LOC106891029"
"106891030","LOC106891030"
"106891031","LOC106891031"
"106891038","LOC106891038"
"106891082","LOC106891082"
"106891084","LOC106891084"
"106891102","LOC106891102"
"106891128","LOC106891128"
"106893439","PMS2"
"106896367","BCL2L1"
"106886514","CDKN2C"
"106902904","LOC106902904"
"106886354","USP33"
"106889448","MYEF2"
"106894898","LOC106894898"
"106894908","LOC106894908"
"106894914","LOC106894914"
"106894915","LOC106894915"
"106902741","CCDC148"
