"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SLC35D3",494.110628903932,-7.56400546028166e-05,0.00557701363832635,0.472178437608527,0.999740065823848
"IL20RA",50.2073413424601,1.90974767508829e-05,0.0061268601455078,0.87412595972156,0.999740065823848
"IL22RA2",5.58584748906097,0.00301936940171535,0.0623507797743864,0.0286251192644257,0.999740065823848
"IFNGR1",614.034887130745,2.64075193226794e-05,0.0042567056050431,0.760261197381062,0.999740065823848
"LOC106887325",88.8368646258967,-0.000120122109646995,0.00650192795458645,0.312002021445077,0.999740065823848
"LOC106888020",4.31102095804043,0.00155628318465566,0.0465924155324609,0.0731542359765583,0.999740065823848
"LOC106888514",55.4821482333836,0.00121657419337728,0.0266427109312393,0.0329547599772037,0.999740065823848
"LOC106889615",149.825032022696,0.000150149609788641,0.00954157290107908,0.387906950966281,0.999740065823848
"ENTPD4",1203.98784216855,-1.50203319576149e-05,0.0031053278075752,0.866695793499735,0.999740065823848
"LOXL2",54.2778713981926,0.000143891843613658,0.00876373657598047,0.362450770820966,0.999740065823848
"R3HCC1",1847.6715031547,4.09769066132105e-05,0.00303516853084509,0.68492913645916,0.999740065823848
"LOC106893840",7.14121070203197,-2.41016545578319e-05,0.0109933857630954,0.914883237447376,0.999740065823848
"CHMP7",1644.58856597883,-3.68382605033875e-05,0.00430279539629794,0.672975412321602,0.999740065823848
"LOC106890301",85.1053034513441,0.00015773286668199,0.00653248358698385,0.197723617407526,0.999740065823848
"RHOBTB2",1023.76477565056,1.38028645939518e-05,0.00318686473250715,0.871177562316994,0.999740065823848
"PEBP4",1808.38636819135,9.66105812442764e-05,0.00460639377065089,0.31624988229178,0.999740065823848
"EGR3",2067.56435971187,-2.64075039454662e-05,0.00457040471748873,0.7718271008755,0.999740065823848
"BIN3",328.161393681351,-8.33553447696506e-05,0.00498123485258608,0.392785803884995,0.999740065823848
"PDLIM2",15.3272467116088,0.000284569762471825,0.0169924976185145,0.377700725835478,0.999740065823848
"RFC5",139.89162707749,-0.000433664718257365,0.0123954391819421,0.0629588750335266,0.999740065823848
"WSB2",838.525058983452,1.45133961931138e-06,0.00334603211508156,0.985656587867,0.999740065823848
"LOC106902700",695.172061242339,0.000221495730233719,0.00938531882721368,0.181123570040278,0.999740065823848
"DTX1",603.249430312636,-0.000128397537991329,0.00599360202859379,0.255832917619871,0.999740065823848
"EWSR1",1448.91502328618,7.2888114211959e-05,0.00404470992036636,0.41461730259143,0.999740065823848
"GAS2L1",1038.89628415771,-5.91836415846953e-05,0.00367483982654571,0.493560155130636,0.999740065823848
"AP1B1",3348.81514443414,-4.18435779416335e-05,0.00361141619695816,0.6151795829232,0.999740065823848
"LOC106886774",9.77882069734823,-0.000888891592642568,0.0285787746822382,0.10522683926371,0.999740065823848
"NEFH",5916.24946545176,-2.85942806256152e-05,0.00387964284169039,0.729197660321016,0.999740065823848
"THOC5",1283.0951486153,0.000134591376361791,0.00499659693476802,0.206170047979665,0.999740065823848
"NF2",695.240331036786,-5.85407097112391e-06,0.00312332073417003,0.946724090232074,0.999740065823848
"CABP7",117.086436280736,-3.07943214741495e-06,0.00380136836174092,0.969709286501457,0.999740065823848
"ZMAT5",529.203283359526,0.000668027443835839,0.0134281008841201,0.0224775450799049,0.999740065823848
"LOC106885327",5146.98975363521,4.35216513128579e-05,0.00508702691779316,0.65956473334238,0.999740065823848
"ASCC2",829.004272030414,-7.13320909123482e-05,0.00301007121418535,0.530881526062534,0.999740065823848
"MTMR3",635.955699710913,-0.000124203700038417,0.007170136450276,0.336916186132257,0.999740065823848
"LOC106887058",1252.73734736612,-1.03076510328608e-05,0.00392166201825877,0.900362696749119,0.999740065823848
"LOC106888081",142.792601564599,-6.88924769589795e-05,0.00667554541598918,0.584992087817036,0.999740065823848
"LIF",13.7287398735686,-7.40127529120834e-05,0.00961836653576288,0.697593048639613,0.999740065823848
"LOC106885400",86.9739202169883,4.54934085187128e-05,0.00435473112745079,0.605901477552481,0.999740065823848
"TBC1D10A",4142.27976948622,2.72225679284984e-05,0.00314189086246931,0.760012909971771,0.999740065823848
"SF3A1",3359.30052236017,-5.63575840620001e-05,0.00336400695383557,0.525733373473259,0.999740065823848
"CCDC157",143.675185109481,-4.63144769350622e-05,0.00366347487769584,0.581019853980939,0.999740065823848
"RNF215",1239.22075232105,-6.64739593597546e-05,0.00417790991389686,0.4538056782374,0.999740065823848
"SEC14L2",443.989688388497,7.81969255602698e-05,0.0041227525310704,0.388261900750467,0.999740065823848
"MTFP1",348.086157959876,0.000291126306716808,0.00842121336407089,0.0767842565711259,0.999740065823848
"LOC106884822",6.77764109795669,0.000147016974468169,0.0147960381998853,0.617067865727914,0.999740065823848
"GAL3ST1",1536.79397600294,-5.36831950477004e-05,0.00371252093113928,0.528744908493076,0.999740065823848
"PES1",1637.10343475797,-6.70905043559633e-05,0.00359048634143085,0.449886506715647,0.999740065823848
"TCN2",125.428458395612,8.51714594849692e-05,0.00436902630959783,0.359638753612847,0.999740065823848
"SLC35E4",442.394255820182,-0.000128065772287638,0.00555677342009908,0.239071432116035,0.999740065823848
"LOC106885768",368.614358940139,0.000202177140191739,0.0126553477409665,0.392626423950922,0.999740065823848
"IQCD",63.2841981870312,-5.62094915044962e-05,0.00516728829607538,0.57203693359215,0.999740065823848
"OSBP2",422.541303040709,-0.000145139693306976,0.00744034446165431,0.276149311324389,0.999740065823848
"LOC106886039",23.8233605099922,0.000126778377904077,0.0112583166169815,0.562293721404311,0.999740065823848
"RTN4R",2508.82643208393,5.28322228750124e-05,0.00340672607356191,0.544488288153179,0.999740065823848
"LOC106887820",4009.70282080507,-0.000151193993113617,0.00422344074743586,0.169349013395562,0.999740065823848
"SCARF2",1303.84520862409,5.84748070833234e-05,0.00383290978109583,0.497247262713856,0.999740065823848
"DGCR6L",5210.47602413769,6.31227188288511e-05,0.0033519122018986,0.48759862870142,0.999740065823848
"SLC7A4",3268.99602332946,-1.57932184161788e-05,0.00391607315821435,0.847958630511976,0.999740065823848
"LRRC74B",3.6743780126172,-0.000112220981322479,0.0158050542178536,0.723223707291424,0.999740065823848
"P2RX6",693.890959344828,8.72631600065656e-05,0.0052583352428771,0.387399096121883,0.999740065823848
