"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"SNTB2",382,326,708,0.53954802259887,0.0386565572456858,0.056776818454601
"SPATA2L",734,429,1163,0.631126397248495,3.0853368428722e-19,1.11546793549995e-18
"SPG7",1374,1078,2452,0.560358890701468,2.45400644109073e-09,5.62625866981777e-09
"SPIRE2",9,150,159,0.0566037735849057,4.13455128199462e-34,2.42904887817184e-33
"TANGO6",1136,1459,2595,0.43776493256262,2.46799783523128e-10,6.10504727662475e-10
"TCF25",1090,1021,2111,0.516342965419233,0.138851886873893,0.176379423866837
"TERF2",3274,1684,4958,0.660346914078257,9.71239622061429e-115,1.01440582748638e-113
"TLDC1",346,295,641,0.539781591263651,0.0481970253881834,0.0676197072610334
"TMED6",1,2,3,0.333333333333333,1,1
"TRAPPC2L",1503,2190,3693,0.406986190089358,1.03210199692969e-29,4.85087938556955e-29
"USP10",20,16,36,0.555555555555556,0.617719317029696,0.652422649447094
"UTP4",337,173,510,0.66078431372549,3.32919416826844e-13,9.20424270050685e-13
"VPS4A",9693,2914,12607,0.768858570635361,4.94065645841247e-324,2.32210853545386e-322
"VPS9D1",161,173,334,0.482035928143713,0.547309409281377,0.598221912470342
"WFDC1",60,29,89,0.674157303370786,0.00133526236562193,0.00224133325657967
"ZC3H18",178,132,310,0.574193548387097,0.0104775573780922,0.0164148398923444
"ZCCHC14",329,378,707,0.465346534653465,0.0709641313930429,0.0966757732021164
"ZDHHC7",38,28,66,0.575757575757576,0.267811664846587,0.322747390968964
"ZFPM1",656,476,1132,0.579505300353357,9.76655728954597e-08,1.99577475047244e-07
"ZNF276",173,173,346,0.5,1,1
"ZNF469",42,17,59,0.711864406779661,0.00154716693024253,0.00255146827092628
