"Gene_ID","s1319_F_BLO_01","s1323_I_BLO_01","s1324_S_BLO_01","s1330_I_BLO_01","s1639_F_BLO_01","s1647_F_BLO_01","s1670_S_BLO_01","s1680_S_BLO_01","s319_I_BLO_01"
"SLC35D3",3.1137717589917,0.861459652162504,8.14498158881636,2.49410966147435,0,1.97025491484474,0,4.3388038262062,0
"IL20RA",110.538897444205,75.8084493903003,61.6691463153239,48.2194534551707,72.4782771684807,39.4050982968949,35.9046869934634,26.9005837224784,44.4183263279635
"IL22RA2",23.3532881924378,55.9948773905627,33.7434951536678,60.6900017625424,63.4184925224206,42.360480669162,45.9579993516332,39.916995201097,30.8208794928726
"IFNGR1",7736.16593521488,10534.7900862953,7535.27153845354,8285.43229541778,9791.03869249208,10060.1215951973,8045.52226149528,8564.79875293103,7269.19507803958
"OLIG3",0,0,0,0,0,0,0,0,0.906496455672725
"LOC106887325",4253.41222278266,4232.35127107438,5775.9555152692,4270.74711033124,4268.45282324374,3768.11252464057,3650.78857349536,3469.30753943447,2933.42253055694
"LOC106888020",10.898201156471,10.33751582595,11.6356879840234,12.4705483073717,15.5310593932459,12.8066569464908,5.74474991895415,6.94208612192991,19.0364255691272
"LOC106888514",36.5868181681525,61.1636353035378,65.1598527105309,39.9057545835895,66.0070024212949,27.5835688078264,127.82068569673,41.6525167315795,51.6702979733453
"LOC106889615",1817.66426431141,2319.91084327362,1882.65431581498,2760.14802536494,2363.30953767225,1781.11044301965,2566.46702629276,3064.06326206682,2492.86525309999
"LOC106888963",0.778442939747925,0,0,1.66273977431623,2.58850989887431,2.95538237226712,1.43618747973854,13.8841722438598,2.71948936701817
"ENTPD4",2861.55624651337,3558.6898230833,3253.33836033294,3179.15844849263,3601.9115242836,3599.65572942135,2641.14877523917,2982.49375013414,2884.47172195061
"LOXL2",361.197524043037,397.994359299077,494.516739320993,624.358785255745,377.922445235649,390.110473139259,318.833620501955,458.177684047374,645.42547643898
"R3HCC1",4896.40609101445,4777.65523089325,4141.14135351392,2597.19952748195,2443.55334453735,4870.47014949621,2633.96783784048,2651.00913781199,2900.78865815272
"LOC106893840",43.5928046258838,23.2594106083876,54.6877335249099,88.9565779259184,36.2391385842403,30.5389511800935,41.6494369124176,33.8426698444083,129.6289931612
"CHMP7",17904.1876142023,15118.6168954519,17278.9966562747,11985.0282932714,19840.9283748716,15615.255327602,14199.5856121749,15292.5479658464,13214.905330797
"LOC106894569",97.3053674684907,21.5364913040626,45.3791831376912,77.3173995057048,15.5310593932459,94.5722359125477,24.4151871555551,182.22976070066,149.571915186
"LOC106890301",1841.79599544359,2001.1707719735,1743.0260600067,2621.30925420954,2141.99194131849,3175.0657952723,2764.66089849668,3655.87610396134,2725.83484220788
"RHOBTB2",1.55688587949585,2.58437895648751,0,2.49410966147435,1.29425494943716,1.97025491484474,1.43618747973854,0.867760765241239,2.71948936701817
"PEBP4",0,0,0,0,0,0,0,0,0
"EGR3",0,1.72291930432501,0,0,0,1.97025491484474,0,0,0
"BIN3",670.239371122964,654.709335643503,610.873619161227,481.363164664549,477.58007634231,682.693327993704,538.570304901951,612.639100260315,539.365391125271
"PDLIM2",0.778442939747925,1.72291930432501,1.16356879840234,6.65095909726493,0,0.985127457422372,1.43618747973854,5.20656459144744,6.34547518970907
"RFC5",2.33532881924378,3.44583860865001,4.65427519360935,4.98821932294869,3.88276484831147,0.985127457422372,5.74474991895415,0.867760765241239,3.6259858226909
"WSB2",94.191595709499,68.0553125208378,36.0706327504725,15.7960278560042,44.0046682808633,60.0927749027647,22.9789996758166,50.3301243839919,101.527603035345
"LOC106902700",0.778442939747925,0,0,0,0,0,0,0.867760765241239,0
"DTX1",2.33532881924378,2.58437895648751,0,1.66273977431623,0,0,0,1.73552153048248,0
"EWSR1",1096.82610210483,1058.73391250772,1036.73979937648,1617.84580040969,1091.05692237552,1513.15577460076,1091.50248460129,1463.91241096197,1281.78598832123
"GAS2L1",6.2275435179834,24.9823299127126,31.4163575568631,58.1958921010681,32.3563737359289,49.2563728711186,17.2342497568624,27.7683444877197,47.1378156949817
"AP1B1",133.113742696895,64.6094739121878,60.5055775169215,64.846851198333,93.1863563594752,131.021951837175,84.7350613045736,130.164114786186,58.9222696187271
"LOC106884545",0,0,0,0,0,0,0,0,0
"LOC106886774",0.778442939747925,0,1.16356879840234,1.66273977431623,1.29425494943716,5.91076474453423,0,0.867760765241239,4.53248227836362
"NEFH",7.00598645773133,5.16875791297502,6.98141279041402,11.6391784202136,10.3540395954972,10.8364020316461,10.0533123581698,12.1486507133773,6.34547518970907
"THOC5",1324.90988345097,1152.63301459343,998.342029029206,1701.81415901266,1292.96069448772,1660.92489321412,1839.75616154507,1812.75223858895,1449.48783262069
"NF2",1102.27520268306,978.618164856604,951.799277093112,1088.26318228997,834.794442386965,1205.79600788498,1097.24723452024,1222.67491822491,955.447264279052
"CABP7",0,0,0,0,0,0,0,0,0
"ZMAT5",1657.30501872333,1540.28985806656,1438.17103482529,859.636463321492,1289.07792963941,1383.11895022101,1156.13092118952,1154.12181777085,919.187406052143
"LOC106885327",3607.30458279189,3483.74283334516,4156.26774789315,2238.04773622965,3871.11655376653,2963.26339192649,2070.98234578297,2707.41358755267,2295.24902576334
"ASCC2",2813.292784249,2456.88292796746,2636.6468971797,2650.40720026007,2644.16286170011,3055.8653729242,3788.66257155026,2730.84312821418,3452.84499965741
"MTMR3",10842.9317077489,10467.5962334266,10923.5838794011,15564.9070273742,11267.7835897999,12772.1774854811,13027.6566287083,20193.6607679289,12766.189585239
"LOC106887058",3012.57417682447,3111.59226361096,2685.5167867126,5097.96014805356,3160.57058652553,3462.72301283964,3846.1100707398,6118.58115571598,3707.57050370144
"LOC106888081",0,0.861459652162504,0,0,0,22.6579315207146,0,0,0
"HORMAD2",3.1137717589917,0.861459652162504,0,1.66273977431623,0,0.985127457422372,0,0,0.906496455672725
"LIF",0.778442939747925,2.58437895648751,0,0,2.58850989887431,8.86614711680135,0,0.867760765241239,0
"LOC106886083",0,2.58437895648751,0,0,0,3.94050982968949,1.43618747973854,0,0
"LOC106885400",6.2275435179834,2.58437895648751,1.16356879840234,1.66273977431623,5.17701979774862,4.92563728711186,0,8.67760765241239,2.71948936701817
"LOC106884710",0,0,0,0,0,0,0,0,0
"TBC1D10A",196.946063756225,181.767986606288,168.717475768339,253.567815583225,284.736088876174,346.764865012675,275.747996109799,375.740411349457,239.315064297599
"SF3A1",3740.41832548878,3790.42246951502,3702.47591651624,7114.86349429915,4070.43181597985,6813.14149553312,4808.35568216462,8510.12982472083,5700.95620972576
"CCDC157",399.341228090686,360.951594256089,417.721198626439,488.845493648972,585.003237145594,654.124631728455,538.570304901951,794.001100195734,490.414582518944
"RNF215",660.898055845989,482.417405211002,518.951684087443,840.514955916855,719.605751887058,887.599839137557,577.347366854892,970.156535539705,696.189277956653
"SEC14L2",4.67065763848755,1.72291930432501,3.49070639520701,6.65095909726493,6.47127474718578,2.95538237226712,4.30856243921561,5.20656459144744,0.906496455672725
"MTFP1",11.6766440962189,8.61459652162504,6.98141279041402,13.3019181945299,16.825314342683,16.7471667761803,17.2342497568624,2.60328229572372,15.4104397464363
"LOC106884822",0,0,0,0,0,0,0,0,0
"GAL3ST1",4.67065763848755,0.861459652162504,3.49070639520701,1.66273977431623,0,1.97025491484474,0,4.3388038262062,0.906496455672725
"PES1",1366.16735925761,1211.21227094048,1353.23051254192,1075.7926339826,1111.76500156652,1628.41568711918,1041.23592281044,1285.15369332228,1052.44238503603
"TCN2",90.2993810107593,87.8688845205754,62.8327151137262,64.846851198333,110.011670702158,57.1373925304976,89.0436237437893,233.427645849893,82.4911774662179
"SLC35E4",1.55688587949585,0,5.81784399201169,8.31369887158116,2.58850989887431,10.8364020316461,0,12.1486507133773,6.34547518970907
"LOC106885768",3.1137717589917,0,0,0,0,0,0,2.60328229572372,0
"IQCD",0,0,0,0,0,0,0,0,0
"OSBP2",1153.65243670643,1038.05888085582,890.130130777788,2090.89526620266,1300.72622418434,1388.04458750812,1813.90478690977,1859.61131991198,1263.65605920778
"LOC106886039",7.00598645773133,1.72291930432501,2.32713759680468,34.0861653734827,9.05978464606009,6.8958922019566,10.0533123581698,3.47104306096496,3.6259858226909
"RTN4R",0,0,0,0,0,0.985127457422372,0,0,1.81299291134545
"LOC106887820",45.9281334451276,58.5792563470502,5.81784399201169,21.615617066111,31.0621187864917,18.7174216910251,5.74474991895415,9.54536841765363,52.576794429018
"SCARF2",11.6766440962189,7.75313686946253,6.98141279041402,23.2783568404272,28.4736088876174,22.6579315207146,15.7980622771239,48.5946028535094,14.5039432907636
"DGCR6L",1021.31713694928,1812.51110814991,1733.71750961948,1351.8074365191,1629.46698134138,1083.64020316461,909.106674674494,808.753033204835,1075.10479642785
"SLC7A4",5.44910057823548,5.16875791297502,9.3085503872187,7.48232898442304,7.76552969662293,12.8066569464908,2.87237495947707,6.07432535668867,2.71948936701817
"LRRC74B",10.119758216723,4.30729826081252,12.7992567824257,5.81958921010681,0,3.94050982968949,10.0533123581698,2.60328229572372,3.6259858226909
"P2RX6",14.7904158552106,6.03021756513753,16.2899631776327,9.14506875873927,0,4.92563728711186,53.1389367503258,7.80984688717115,15.4104397464363
"LOC106887664",0,0,0,0,0,0,0,0,0.906496455672725
"AIFM3",0,0,0,0,0,0,0,0,0
"LOC106888560",201.616721394713,195.551341040888,196.643126929995,75.6546597313885,169.547398376267,168.456795219226,202.502434643134,88.5115980546064,87.0236597445816
"LOC106889924",48815.3783086527,66403.8943676423,49097.949017385,75866.6590526138,49692.9187836396,52733.8727958196,78349.7717696561,59536.1983424362,77009.593398765
"GLE1",2305.74798753336,2328.52543979525,1980.39409488078,2890.67309764877,2323.18763423969,2572.16779132981,1937.41691016729,1799.73582711033,2098.53929488236
"ODF2",695.927988134645,820.971048510866,567.821573620341,697.519335325659,590.180256943343,1113.19402688728,548.623617260121,487.681550065576,981.735661493561
"PTGES2",1340.47874224593,1081.9933231161,852.895929228913,576.970701687732,971.985467027304,922.07930014734,742.508927024823,710.696066732575,561.121306061417
"LOC106892294",291.137659465724,328.216127473914,545.713766450696,426.492752112113,429.692643213136,464.98015990336,304.47174570457,256.857186511407,276.481418980181
"CIZ1",10.119758216723,12.0604351302751,6.98141279041402,9.14506875873927,9.05978464606009,16.7471667761803,8.61712487843122,11.2808899481361,6.34547518970907
"DNM1",1.55688587949585,12.0604351302751,16.2899631776327,8.31369887158116,9.05978464606009,9.85127457422372,10.0533123581698,34.7104306096496,11.7844539237454
"GOLGA2",1946.10734936981,2290.6212151001,1852.40152705652,2436.74513926044,1832.66500840301,2173.19117107375,2392.6883412444,2096.51000882283,2752.12323942239
"TRUB2",13.2335299757147,13.7833544346001,16.2899631776327,10.8078085330555,32.3563737359289,12.8066569464908,17.2342497568624,17.3552153048248,7.2519716453818
"COQ4",158.802359708577,104.236617911663,54.6877335249099,66.5095909726492,80.2438068651036,56.1522650730752,160.852997730716,76.362947341229,48.0443121506544
"TRNAR-UCU",0,0,0,0,0,0,0,0,0
"SLC27A4",244.431083080849,212.780534084138,271.111530027745,340.030283847669,278.264814128988,390.110473139259,379.153494650974,422.599492672484,334.497192143235
"URM1",1455.68829732862,1206.04351302751,1432.35319083328,797.283721784633,1474.15638740892,844.254231010973,841.605863126782,769.703798768979,953.634271367706
"CERCAM",0,0,0,0,0,0,0,4.3388038262062,0
