"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"TCF25","Liver",193,252,445,0.434,0.566,0.00590769301264067,0.00992046562500037
"TERF2","Liver",794,454,1248,0.636,0.364,4.63518800349897e-22,2.2918429572856e-21
"TLDC1","Liver",1448,1306,2754,0.526,0.474,0.00720285091619744,0.011871365398918
"TMED6","Liver",0,4,4,0,1,0.125,0.161231884057971
"TRAPPC2L","Liver",124,253,377,0.329,0.671,2.79584733140499e-11,8.29434708316814e-11
"USP10","Liver",188,145,333,0.565,0.435,0.0212184999042069,0.0304588143786196
"UTP4","Liver",1096,637,1733,0.632,0.368,1.81327103529471e-28,1.07587414760819e-27
"VPS4A","Liver",3949,3350,7299,0.541,0.459,2.49851500467766e-12,7.94170840772542e-12
"VPS9D1","Liver",82,109,191,0.429,0.571,0.0596478211488886,0.0829477512851732
"WFDC1","Liver",24,9,33,0.727,0.273,0.0135309868492186,0.0207630660272493
"ZC3H18","Liver",192,175,367,0.523,0.477,0.403641639011792,0.472685603579599
"ZCCHC14","Liver",214,200,414,0.517,0.483,0.522927946123798,0.589121357025544
"ZDHHC7","Liver",352,421,773,0.455,0.545,0.0144008081625824,0.0217232529910142
"ZFPM1","Liver",422,1405,1827,0.231,0.769,4.45043794407032e-123,7.92177954044516e-122
"ZNF276","Liver",154,209,363,0.424,0.576,0.00452726063282323,0.00790051365335818
"ZNF469","Liver",12,2,14,0.857,0.143,0.012939453125,0.0202037075109649
