"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"JPH3","Nucleus taeniae of the amygdala and arcopallium",1962,1639,3601,0.545,0.455,7.90065992473614e-08,2.2937399781492e-07
"KCNG4","Nucleus taeniae of the amygdala and arcopallium",46,62,108,0.426,0.574,0.148576347610562,0.196645165955156
"KIAA0513","Nucleus taeniae of the amygdala and arcopallium",1258,1012,2270,0.554,0.446,2.64582485574749e-07,7.21588597022042e-07
"KLHDC4","Nucleus taeniae of the amygdala and arcopallium",536,822,1358,0.395,0.605,8.34682243198728e-15,3.75607009439427e-14
"KLHL36","Nucleus taeniae of the amygdala and arcopallium",2937,2802,5739,0.512,0.488,0.0769127194707194,0.106494534651765
"LOC106888094","Nucleus taeniae of the amygdala and arcopallium",174,112,286,0.608,0.392,0.000294785343157831,0.000602970020095564
"LOC106888097","Nucleus taeniae of the amygdala and arcopallium",582,418,1000,0.582,0.418,2.39665771823892e-07,6.74059983254697e-07
"LOC106888173","Nucleus taeniae of the amygdala and arcopallium",2044,304,2348,0.871,0.129,8.40456285542033e-316,7.5641065698783e-314
"LOC106888185","Nucleus taeniae of the amygdala and arcopallium",153,71,224,0.683,0.317,4.45274078507713e-08,1.33582223552314e-07
"LOC106888312","Nucleus taeniae of the amygdala and arcopallium",11,12,23,0.478,0.522,1,1
"LOC106888384","Nucleus taeniae of the amygdala and arcopallium",25,37,62,0.403,0.597,0.161881405525598,0.21105628954494
"MC1R","Nucleus taeniae of the amygdala and arcopallium",7,7,14,0.5,0.5,1,1
"MLYCD","Nucleus taeniae of the amygdala and arcopallium",1091,974,2065,0.528,0.472,0.0106720356109033,0.0162793763556152
"MPHOSPH6","Nucleus taeniae of the amygdala and arcopallium",1582,1399,2981,0.531,0.469,0.000854939871809543,0.00153889176925718
"MTHFSD","Nucleus taeniae of the amygdala and arcopallium",328,219,547,0.6,0.4,3.61713820607345e-06,9.30121252990317e-06
"MVD","Nucleus taeniae of the amygdala and arcopallium",684,853,1537,0.445,0.555,1.7926624492525e-05,4.24577948507172e-05
"NIP7","Nucleus taeniae of the amygdala and arcopallium",3281,2998,6279,0.523,0.477,0.000371768572059899,0.000727373293160672
"PIEZO1","Nucleus taeniae of the amygdala and arcopallium",461,437,898,0.513,0.487,0.44278990395709,0.491988782174545
"PKD1L2","Nucleus taeniae of the amygdala and arcopallium",3,7,10,0.3,0.7,0.34375,0.407072368421053
"PLCG2","Nucleus taeniae of the amygdala and arcopallium",42,79,121,0.347,0.653,0.000983028497126897,0.00170139547579655
"PPP1R3E","Nucleus taeniae of the amygdala and arcopallium",7,12,19,0.368,0.632,0.359283447265625,0.419941691609172
"RNF166","Nucleus taeniae of the amygdala and arcopallium",751,614,1365,0.55,0.45,0.00022970333130155,0.000492221424217607
"RPL13","Nucleus taeniae of the amygdala and arcopallium",3636,3292,6928,0.525,0.475,3.76127754229909e-05,8.67987125145943e-05
"SDR42E1","Nucleus taeniae of the amygdala and arcopallium",150,67,217,0.691,0.309,1.75879964008769e-08,5.86266546695896e-08
"SLC22A31","Nucleus taeniae of the amygdala and arcopallium",646,462,1108,0.583,0.417,3.59023602430812e-08,1.11421117995769e-07
"SLC7A5","Nucleus taeniae of the amygdala and arcopallium",8626,6720,15346,0.562,0.438,1.69631326977117e-53,2.1809742039915e-52
"SNTB2","Nucleus taeniae of the amygdala and arcopallium",119,100,219,0.543,0.457,0.223776583646506,0.275888938742268
"SPATA2L","Nucleus taeniae of the amygdala and arcopallium",7329,4915,12244,0.599,0.401,4.17046835385893e-106,9.3835537961826e-105
"SPG7","Nucleus taeniae of the amygdala and arcopallium",5024,5357,10381,0.484,0.516,0.00111901314925999,0.00190021100817734
"SPIRE2","Nucleus taeniae of the amygdala and arcopallium",4684,5045,9729,0.481,0.519,0.000262056847753869,0.000548491076694145
"TANGO6","Nucleus taeniae of the amygdala and arcopallium",1026,1143,2169,0.473,0.527,0.0127299026177164,0.0190948539265747
"TCF25","Nucleus taeniae of the amygdala and arcopallium",446,489,935,0.477,0.523,0.169548708450553,0.214920898035913
"TERF2","Nucleus taeniae of the amygdala and arcopallium",1639,1272,2911,0.563,0.437,1.10292120941113e-11,4.3157786455218e-11
"TLDC1","Nucleus taeniae of the amygdala and arcopallium",1246,1256,2502,0.498,0.502,0.857213614378926,0.886772704529924
"TRAPPC2L","Nucleus taeniae of the amygdala and arcopallium",695,1212,1907,0.364,0.636,1.3398582998363e-32,1.09624769986606e-31
"USP10","Nucleus taeniae of the amygdala and arcopallium",263,239,502,0.524,0.476,0.304632893075505,0.365559471690606
"UTP4","Nucleus taeniae of the amygdala and arcopallium",891,746,1637,0.544,0.456,0.000369159483425646,0.000727373293160672
"VPS4A","Nucleus taeniae of the amygdala and arcopallium",7336,7478,14814,0.495,0.505,0.246673390349001,0.300008177451487
"VPS9D1","Nucleus taeniae of the amygdala and arcopallium",2268,1556,3824,0.593,0.407,9.20894104353047e-31,6.90670578264785e-30
"WFDC1","Nucleus taeniae of the amygdala and arcopallium",314,176,490,0.641,0.359,4.68082790797e-10,1.6850980468692e-09
"ZC3H18","Nucleus taeniae of the amygdala and arcopallium",648,395,1043,0.621,0.379,4.46665071855127e-15,2.11578191931376e-14
"ZCCHC14","Nucleus taeniae of the amygdala and arcopallium",938,1112,2050,0.458,0.542,0.000131811812530757,0.000289343003116295
"ZDHHC7","Nucleus taeniae of the amygdala and arcopallium",273,222,495,0.552,0.448,0.0245207455464208,0.0355946306319012
"ZFPM1","Nucleus taeniae of the amygdala and arcopallium",423,522,945,0.448,0.552,0.00142014015011495,0.0023238657001881
"ZNF276","Nucleus taeniae of the amygdala and arcopallium",652,581,1233,0.529,0.471,0.0461627365315817,0.0649163482475368
"ZNF469","Nucleus taeniae of the amygdala and arcopallium",15,10,25,0.6,0.4,0.42435622215271,0.487537426743098
