"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"SPG7","Pre-optic area",4891,4887,9778,0.5,0.5,0.975797179308031,1
"SPIRE2","Pre-optic area",2891,2840,5731,0.504,0.496,0.50895407642338,0.609405538875363
"TANGO6","Pre-optic area",1291,1447,2738,0.472,0.528,0.00304749797016331,0.0052324965148087
"TCF25","Pre-optic area",463,556,1019,0.454,0.546,0.00392943358148698,0.00638532956991633
"TERF2","Pre-optic area",2079,1511,3590,0.579,0.421,2.47595374818572e-21,1.32536347697e-20
"TLDC1","Pre-optic area",884,1039,1923,0.46,0.54,0.000442179145475054,0.000838297963296456
"TRAPPC2L","Pre-optic area",815,1317,2132,0.382,0.618,1.141519852225e-27,6.92522043683168e-27
"USP10","Pre-optic area",301,239,540,0.557,0.443,0.00860353444034906,0.0130486939011961
"UTP4","Pre-optic area",945,753,1698,0.557,0.443,3.48680513484642e-06,8.34998071765853e-06
"VPS4A","Pre-optic area",6900,6795,13695,0.504,0.496,0.374168087724667,0.47290688865201
"VPS9D1","Pre-optic area",1536,1136,2672,0.575,0.425,1.04955682363046e-14,3.97956962293216e-14
"WFDC1","Pre-optic area",228,119,347,0.657,0.343,5.07101177888407e-09,1.59124852371879e-08
"ZC3H18","Pre-optic area",674,429,1103,0.611,0.389,1.62136363260945e-13,5.90176362269839e-13
"ZCCHC14","Pre-optic area",896,1089,1985,0.451,0.549,1.61323186926261e-05,3.58058780738775e-05
"ZDHHC7","Pre-optic area",348,316,664,0.524,0.476,0.228937386532511,0.310944808574008
"ZFPM1","Pre-optic area",727,733,1460,0.498,0.502,0.895895050687283,0.97055297157789
"ZNF276","Pre-optic area",602,623,1225,0.491,0.509,0.567726939574658,0.670950019497323
"ZNF469","Pre-optic area",17,17,34,0.5,0.5,1,1
