"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"RNF166","Adrenal glands",3122,2558,5680,0.55,0.45,7.64663166200104e-14,2.34496704301365e-13
"RPL13","Adrenal glands",6960,5989,12949,0.537,0.463,1.48720878217374e-17,5.47292831839938e-17
"SDR42E1","Adrenal glands",575,224,799,0.72,0.28,2.28154034286904e-36,1.16612061968862e-35
"SLC22A31","Adrenal glands",591,1614,2205,0.268,0.732,4.58861308370058e-109,5.27690504625566e-108
"SLC7A5","Adrenal glands",5372,3432,8804,0.61,0.39,1.22753284692892e-95,1.1293302191746e-94
"SNTB2","Adrenal glands",521,569,1090,0.478,0.522,0.154533147754753,0.18956066124583
"SPATA2L","Adrenal glands",2620,2193,4813,0.544,0.456,8.02742958498021e-10,1.89365005594405e-09
"SPG7","Adrenal glands",7388,6920,14308,0.516,0.484,9.44273228434634e-05,0.000180985702116638
"SPIRE2","Adrenal glands",734,664,1398,0.525,0.475,0.0649378150533392,0.0865837534044522
"TANGO6","Adrenal glands",1328,1389,2717,0.489,0.511,0.249693604827223,0.283950617283951
"TCF25","Adrenal glands",546,616,1162,0.47,0.53,0.0429068509813278,0.0636682304884219
"TERF2","Adrenal glands",2241,1648,3889,0.576,0.424,1.88359223916826e-21,7.87684027288546e-21
"TLDC1","Adrenal glands",3832,4430,8262,0.464,0.536,5.00538779983087e-11,1.21183073048537e-10
"TRAPPC2L","Adrenal glands",557,762,1319,0.422,0.578,1.82332164780481e-08,4.09135589263518e-08
"USP10","Adrenal glands",627,569,1196,0.524,0.476,0.0992716940681702,0.125109532250297
"UTP4","Adrenal glands",2144,1630,3774,0.568,0.432,6.09702046336189e-17,2.1574072408819e-16
"VPS4A","Adrenal glands",10804,9794,20598,0.525,0.475,2.03950281478856e-12,5.51865467531022e-12
"VPS9D1","Adrenal glands",980,1115,2095,0.468,0.532,0.00340612817968411,0.00602622677944111
"WFDC1","Adrenal glands",3614,1835,5449,0.663,0.337,1.5961014419169e-130,2.93682665312709e-129
"ZC3H18","Adrenal glands",968,807,1775,0.545,0.455,0.000144636820523426,0.000266131749763103
"ZCCHC14","Adrenal glands",814,936,1750,0.465,0.535,0.00381011234114881,0.00661377991293755
"ZDHHC7","Adrenal glands",823,775,1598,0.515,0.485,0.239691407686507,0.27913429755897
"ZFPM1","Adrenal glands",2483,2471,4954,0.501,0.499,0.875811142589523,0.885435440859737
"ZNF276","Adrenal glands",662,806,1468,0.451,0.549,0.000187701428950778,0.000338598656146501
"ZNF469","Adrenal glands",159,368,527,0.302,0.698,4.15766327547603e-20,1.66306531019041e-19
