"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"TLDC1","Ventral tegmental area and substantia nigra",1026,1534,2560,0.401,0.599,8.87872882419112e-24,4.29917395697675e-23
"TRAPPC2L","Ventral tegmental area and substantia nigra",771,1350,2121,0.364,0.636,1.44801726382318e-36,1.11014656893111e-35
"USP10","Ventral tegmental area and substantia nigra",282,246,528,0.534,0.466,0.127634456024906,0.156564932723885
"UTP4","Ventral tegmental area and substantia nigra",774,661,1435,0.539,0.461,0.00309713815453077,0.00558699431797708
"VPS4A","Ventral tegmental area and substantia nigra",7085,6850,13935,0.508,0.492,0.0474453684804808,0.0651488641821528
"VPS9D1","Ventral tegmental area and substantia nigra",1666,1117,2783,0.599,0.401,1.97735597423053e-25,1.01064860905116e-24
"WFDC1","Ventral tegmental area and substantia nigra",572,252,824,0.694,0.306,2.10056838994977e-29,1.38037351339556e-28
"ZC3H18","Ventral tegmental area and substantia nigra",658,444,1102,0.597,0.403,1.22566535992365e-10,3.63745848751534e-10
"ZCCHC14","Ventral tegmental area and substantia nigra",747,839,1586,0.471,0.529,0.0222819871957632,0.0325387749525431
"ZDHHC7","Ventral tegmental area and substantia nigra",403,371,774,0.521,0.479,0.265150166422496,0.312741221934226
"ZFPM1","Ventral tegmental area and substantia nigra",939,777,1716,0.547,0.453,0.00010055556699554,0.000210252549172493
"ZNF276","Ventral tegmental area and substantia nigra",867,845,1712,0.506,0.494,0.611791203230457,0.678130008400024
"ZNF469","Ventral tegmental area and substantia nigra",52,29,81,0.642,0.358,0.013999473719987,0.0211139603645706
