"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"TLDC1","Gonads",1059,1263,2322,0.456,0.544,2.49466633338822e-05,4.17289641221303e-05
"TMED6","Gonads",1,5,6,0.167,0.833,0.21875,0.261363636363636
"TRAPPC2L","Gonads",2924,5578,8502,0.344,0.656,4.35609565144727e-185,5.72515428475927e-184
"USP10","Gonads",179,181,360,0.497,0.503,0.957976984047287,1
"UTP4","Gonads",1705,1158,2863,0.596,0.404,1.377546069908e-24,4.08820123972698e-24
"VPS4A","Gonads",17316,10091,27407,0.632,0.368,4.94065645841247e-324,1.13635098543487e-322
"VPS9D1","Gonads",350,437,787,0.445,0.555,0.00215275700129792,0.00324678105113785
"WFDC1","Gonads",710,426,1136,0.625,0.375,3.16588483474254e-17,8.09059457767539e-17
"ZC3H18","Gonads",1618,970,2588,0.625,0.375,1.97703286781623e-37,8.26759199268604e-37
"ZCCHC14","Gonads",1077,1326,2403,0.448,0.552,4.11737420826915e-07,8.05954100342045e-07
"ZDHHC7","Gonads",200,214,414,0.483,0.517,0.522927946123798,0.579630976426378
"ZFPM1","Gonads",3259,2057,5316,0.613,0.387,1.79016533778115e-61,8.66816900399293e-61
"ZNF276","Gonads",740,563,1303,0.568,0.432,1.04543493369661e-06,1.9628574265324e-06
"ZNF469","Gonads",146,82,228,0.64,0.36,2.69263764247605e-05,4.4236189840678e-05
