"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"SPIRE2","Lateral septum",2936,3147,6083,0.483,0.517,0.00708633434766638,0.0115481004184193
"TANGO6","Lateral septum",1182,1373,2555,0.463,0.537,0.000169580767855836,0.000355312085031274
"TCF25","Lateral septum",390,588,978,0.399,0.601,2.60822165149744e-10,8.82782712814518e-10
"TERF2","Lateral septum",2112,1395,3507,0.602,0.398,7.07245023829052e-34,5.65796019063242e-33
"TLDC1","Lateral septum",622,786,1408,0.442,0.558,1.37020979680472e-05,3.34940172552265e-05
"TRAPPC2L","Lateral septum",594,1033,1627,0.365,0.635,8.70157493303258e-28,4.78586621316792e-27
"USP10","Lateral septum",200,187,387,0.517,0.483,0.54192056075685,0.611397555725677
"UTP4","Lateral septum",1021,760,1781,0.573,0.427,6.76037325650579e-10,2.20338091323152e-09
"VPS4A","Lateral septum",6560,6891,13451,0.488,0.512,0.00443443503932593,0.007362835536994
"VPS9D1","Lateral septum",1342,1142,2484,0.54,0.46,6.47478884217283e-05,0.000146097799515695
"WFDC1","Lateral septum",81,71,152,0.533,0.467,0.465508998267694,0.546197224634095
"ZC3H18","Lateral septum",646,379,1025,0.63,0.37,6.51277655524073e-17,3.01644387821676e-16
"ZCCHC14","Lateral septum",901,1056,1957,0.46,0.54,0.000496157305555256,0.000949170497583968
"ZDHHC7","Lateral septum",256,240,496,0.516,0.484,0.50065613597939,0.57350697026473
"ZFPM1","Lateral septum",629,635,1264,0.498,0.502,0.888164705265679,0.930458262659283
"ZNF276","Lateral septum",613,644,1257,0.488,0.512,0.39747119251331,0.4754220456114
"ZNF469","Lateral septum",14,18,32,0.438,0.562,0.596614895854146,0.664583681457783
