"ID","morph","blo_T","blo_A4","blo_prog","sex","testes_mass","gon_A4","gon_A4_in_both_testes","gon_T","gon_T_in_both_testes","note"
319,"Ind",7587.53725,1685.167522,1160.552731,"M",2.33,13.5448100742119,31.5594074729137,130.44553930547,303.938106581745,NA
370,"Ind",6683.066963,1267.337043,1081.833947,"M",4.23,5.02654563534121,21.2622880374933,67.8893395851137,287.171906445031,NA
372,"Ind",500.6572414,NA,NA,"M",3.25,3.58516366661318,11.6517819164928,26.8185397854455,87.1602543026979,NA
1306,"Ind",4744.846677,NA,1382.068769,"M",2.11,8.14669396507161,17.1895242663011,143.188608061877,302.127963010561,NA
1311,"Ind",368.8411509,NA,NA,"M",3.75,3.47161818628395,13.0185681985648,12.3888424939361,46.4581593522604,"PS6 control"
1312,"Ind",799.6029671,310.1667548,980.8743441,"M",2.9,2.21047163630671,6.41036774528947,16.7016052899936,48.4346553409814,"PS6 control"
1323,"Ind",261.0538266,217.5598175,NA,"M",2.53,2.16352481267467,5.47371777606692,9.08907317768368,22.9953551395397,NA
1328,"Ind",3850.51911,709.2000369,1658.796809,"M",3.3,5.96787343136431,19.6939823235022,31.9223221727772,105.343663170165,NA
1330,"Ind",84.04925466,116.5828318,1734.966258,"M",2.5,2.27628975375771,5.69072438439428,5.54398940387664,13.8599735096916,NA
1340,"Ind",1204.017208,419.5925909,1710.003942,"M",2.42,9.27257128378727,22.4396225067652,47.8557683212592,115.810959337447,NA
1660,"Ind",1748.957954,NA,2121.061048,"M",NA,4.44930493905554,NA,63.6282026333029,NA,"PS6 fight"
1665,"Ind",257.8321974,232.3534004,NA,"M",4.4,0.658676349485998,2.89817593773839,2.22875221584355,9.80650974971162,"PS6 fight"
1672,"Ind",72.62692742,NA,NA,"M",3.01,0.940310671865002,2.83033512231366,2.99143832030434,9.00422934411607,"PS6 control"
1674,"Ind",4117.957622,566.1217635,1391.841374,"M",3.41,3.11048859250405,10.6067661004388,24.3655510817788,83.0865291888658,NA
1678,"Ind",1055.281593,NA,NA,"M",3.28,4.51148273240321,14.7976633622825,27.432508671095,89.9786284411917,"PS6 fight"
1685,"Ind",19608.8602,NA,1920.731502,"M",2.8,27.2454550616554,76.2872741726351,265.959070551085,744.685397543038,"PS6 fight"
1695,"Ind",331.962837,251.3032268,1057.800408,"M",3.3,2.61320787912549,8.62358600111411,14.9664666222575,49.3893398534499,"PS6 control"
374,"Sat",39.92980929,NA,2126.922599,"M",2.99,19.154325887871,57.2714344047343,8.20622155453415,24.5366024480571,NA
1321,"Sat",181.6725811,4563.532775,NA,"M",2.94,42.3216827965251,124.425747421784,74.8300763207657,220.000424383051,NA
1324,"Sat",150.7684237,4278.469992,1325.943687,"M",3.48,40.7724265754972,141.88804448273,51.2023226920401,178.1840829683,NA
1633,"Sat",175.7318352,18158.18841,2112.569147,"M",2.95,82.482891204808,243.324529054184,213.702243373941,630.421617953126,NA
1640,"Sat",369.8433882,10016.54768,1511.643542,"M",3.37,68.6059496326851,231.202050262149,286.11649117035,964.212575244079,NA
1645,"Sat",637.871367,NA,NA,"M",3.21,106.163191260557,340.783843946389,257.023944109257,825.046860590716,NA
1670,"Sat",108.9259107,10207.35961,1371.204271,"M",2.37,111.5573992806,264.391036295022,327.997022771002,777.352943967275,NA
1680,"Sat",183.6448815,16234.52351,1340.156853,"M",3.48,75.0674351108108,261.234674185621,198.513675163223,690.827589568018,NA
1693,"Sat",103.8213099,12820.56772,1646.934466,"M",3.45,101.235020611175,349.260821108555,214.85167084533,741.238264416389,NA
672,"Fae",75.66862297,2282.913786,1864.900635,"M",3.72,53.1611925766332,197.759636385076,46.6307963294678,173.46656234562,NA
954,"Fae",186.4845633,5939.845078,1549.17589,"M",3.06,50.8172160827051,155.500681213078,111.206852679357,340.292969198833,NA
1015,"Fae",208.64348,NA,3956.77236,"M",1.94,85.0750812393251,165.045657604291,314.145985960602,609.443212763567,NA
1319,"Fae",236.4262507,18490.43566,1061.297918,"M",3.67,113.265072216034,415.682815032845,230.723610195562,846.755649417712,NA
1337,"Fae",169.058212,22554.85118,2179.961306,"M",2.52,117.202190555949,295.349520200991,393.642267244806,991.97851345691,NA
1639,"Fae",79.03361318,2816.817533,1688.687298,"M",3.28,41.0392630267901,134.608782727872,60.2635985469714,197.664603234066,NA
1647,"Fae",96.76132267,7869.776995,1378.012995,"M",3.03,101.307754602764,306.962496446376,194.280356948448,588.669481553799,NA
1650,"Fae",201.7904331,9908.223403,NA,"M",3.01,119.023747234712,358.261479176482,437.977345895091,1318.31181114422,NA
1664,"Fae",104.6356379,NA,2767.22938,"M",3.66,33.3629438659893,122.108374549521,39.6784015127885,145.222949536806,NA
329,"Sat",79.70309,3932.091,2200.145,"M",3.92,50.9600495346288,199.763394175745,79.9027110868839,313.218627460585,NA
